,date,arrivals,departures
1026,2021-10-23,244,244
1027,2021-10-24,243,243
1028,2021-10-25,250,247
1029,2021-10-26,252,248
1030,2021-10-27,252,252
1031,2021-10-28,254,254
1032,2021-10-29,255,255
1033,2021-10-30,252,254
1034,2021-10-31,251,254
1035,2021-11-01,245,251
1036,2021-11-02,246,252
1037,2021-11-03,245,248
1038,2021-11-04,247,249
1039,2021-11-05,248,248
1040,2021-11-06,249,249
1041,2021-11-07,253,251
1042,2021-11-08,254,252
1043,2021-11-09,253,252
1044,2021-11-10,254,253
1045,2021-11-11,253,253
1046,2021-11-12,254,254
1047,2021-11-13,255,254
1048,2021-11-14,252,253
1049,2021-11-15,250,252
1050,2021-11-16,252,254
1051,2021-11-17,250,254
1052,2021-11-18,248,255
1053,2021-11-19,245,256
1054,2021-11-20,244,257
1055,2021-11-21,242,258
1056,2021-11-22,243,259
1057,2021-11-23,241,258
1058,2021-11-24,239,258
1059,2021-11-25,241,259
1060,2021-11-26,243,260
1061,2021-11-27,244,261
1062,2021-11-28,246,261
1063,2021-11-29,246,261
1064,2021-11-30,246,261
1065,2021-12-01,247,262
1066,2021-12-02,246,263
